Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
28195,1610196,28107,2258000,0,28102,78
28295,1610060,28210,2258000,0,28207,84
28395,1610264,28307,2258000,0,28300,88
28495,1610464,28405,3172000,477000,28402,85
28596,1610604,28507,3172000,477000,28501,97
28696,1610448,28603,3172000,477000,28600,85
28797,1610432,28711,3172000,477000,28706,84
28897,1610572,28807,3172000,477000,28803,86
28997,1610412,28910,3172000,477000,28902,63
29098,1610412,29006,3172000,477000,29003,66
29198,1610412,29117,3172000,477000,29114,62
29298,1610288,29207,3172000,477000,29204,65
29399,1610616,29311,3172000,477000,29305,63
29500,1610728,29408,2512000,0,29405,61
29600,1611328,29509,2512000,0,29506,62
29701,1610472,29627,2512000,0,29612,73
29801,1610200,29710,2512000,0,29707,69
29901,1610200,29810,2512000,0,29807,64
30002,1610200,29918,2512000,0,29908,62
30104,1610212,30010,2512000,0,30008,64
30205,1610100,30112,2512000,0,30110,64
30306,1610056,30214,2512000,0,30211,66
30407,1610136,30317,2512000,0,30312,66
30508,1610232,30416,2030000,0,30412,65
30609,1610244,30519,2030000,0,30513,63
30709,1610616,30617,2030000,0,30614,66
30810,1611440,30718,2030000,0,30715,63
30910,1611316,30819,2030000,0,30816,75
31055,1611028,30919,2030000,0,30916,79
31105,1610780,31069,2030000,0,31067,93
31206,1611028,31113,2030000,0,31111,100
31306,1611152,31214,2030000,0,31211,100
31406,1611416,31314,2030000,0,31311,100
31507,1611308,31416,2746000,51000,31411,100
31607,1611544,31517,2746000,51000,31511,95
31708,1611668,31615,2746000,51000,31612,100
31808,1611668,31732,2746000,51000,31716,100
31908,1611916,31821,2746000,51000,31814,92
32009,1612784,31920,2746000,51000,31915,75
32110,1613032,32017,2746000,51000,32015,75
,,32136,2746000,51000,32123,75
