Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
29466,1606640,29474,2370000,0,29471,81
29566,1606640,29584,2370000,0,29580,83
29667,1606840,29678,2117000,0,29674,81
29767,1606840,29785,2117000,0,29781,80
29868,1606952,29879,2117000,0,29876,83
29969,1606952,29980,2117000,0,29976,85
30070,1606928,30078,2117000,0,30075,91
30172,1606812,30180,2117000,0,30177,93
30273,1606904,30280,2117000,0,30277,82
30374,1606932,30381,2117000,0,30378,87
30474,1607056,30481,2117000,0,30479,86
30574,1607028,30582,2117000,0,30579,79
30675,1607268,30683,2958000,263600,30680,90
30825,1607640,30834,2958000,263600,30832,98
30926,1607892,30934,2958000,263600,30932,100
31029,1608060,31038,2958000,263600,31034,100
31130,1608284,31138,2958000,263600,31135,97
31243,1608796,31254,2958000,263600,31251,75
31303,1608796,31338,2958000,263600,31309,75
31403,1609292,31429,2958000,263600,31420,75
31504,1608532,31513,2958000,263600,31510,75
31604,1608408,31617,2958000,263600,31613,75
31705,1608408,31714,2551000,0,31711,75
31805,1609028,31825,2551000,0,31821,73
31905,1609648,31914,2551000,0,31911,75
